datum,varunummer,namn,typ,fran,till
2026-08-15,625001,Camden Park Shiraz Grenache,borttagen,Ordervaror,
2026-08-15,9501301,Vranac Monastery Tvrdos,borttagen,Tillfälligt sortiment,
2026-08-15,471801,Maison Francoise Bordeaux,borttagen,Fast sortiment,
2026-08-15,9561101,Fitapreta Pequeno Eremita Branco,borttagen,Tillfälligt sortiment,
2026-08-15,9029101,Dorli Muhr Prellenkirchen Samt & Seide,borttagen,Tillfälligt sortiment,
2026-08-15,9259501,Château du Beaucastel Rouge,borttagen,Tillfälligt sortiment,
2026-08-15,9295501,Vietti Barolo Ravera,borttagen,Tillfälligt sortiment,
2026-08-15,9452301,Chapoutier Le Méal Ermitage,borttagen,Tillfälligt sortiment,
2026-08-15,9452801,Chapoutier Le Pavillon,borttagen,Tillfälligt sortiment,
2026-08-15,9221201,Pacina,borttagen,Tillfälligt sortiment,
2026-08-15,9035401,Celler del Roure Safra,borttagen,Tillfälligt sortiment,
2026-08-15,9037601,Domaine Saint-Rémy Pinot Noir Réserve,borttagen,Tillfälligt sortiment,
2026-08-15,9110801,L'Isolato Tenuta Licinia,borttagen,Tillfälligt sortiment,
2026-08-15,9129001,Brunello di Montalcino Vigneti del Versante,borttagen,Tillfälligt sortiment,
2026-08-15,9224701,Fräulein Hu Rosé Katharina Wechsler,borttagen,Tillfälligt sortiment,
2026-08-15,9024401,L’Archetipo Niuru Maru Negroamaro,borttagen,Tillfälligt sortiment,
2026-08-15,9050901,L’Archetipo Verdeca Sette Lune,borttagen,Tillfälligt sortiment,
2026-08-15,9034401,Camille Sancerre Rouge Domaine Du Pré Semelé,borttagen,Tillfälligt sortiment,
2026-08-15,9259801,Sander Pinot Noir Réserve,borttagen,Tillfälligt sortiment,
2026-08-15,9348601,Weingut Hirsch Zöbing Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9351701,Gunderloch Rothenberg Nackenheim GG Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9011001,Bassermann-Jordan Forster Pechstein Riesling GG Trocken,borttagen,Tillfälligt sortiment,
2026-08-15,9497601,Verdeca Sette Lune L’Archetipo,borttagen,Tillfälligt sortiment,
2026-08-15,9302301,Las Gravas Casa Castillo,borttagen,Tillfälligt sortiment,
2026-08-15,9006501,Peyrassol Les Commandeurs Rosé,borttagen,Tillfälligt sortiment,
2026-08-15,9390601,Querciabella Chianti Classico,borttagen,Tillfälligt sortiment,
2026-08-15,9290601,Coulée de Serrant Famille Joly,borttagen,Tillfälligt sortiment,
2026-08-15,9428701,Barolo Via Nuova E. Pira & Figli Chiara Boschis,borttagen,Tillfälligt sortiment,
2026-08-15,9524801,Grosset Polish Hill Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9447801,Bourgogne Blanc Etienne Sauzet,borttagen,Tillfälligt sortiment,
2026-08-15,9530701,Emma Mas de Monné,borttagen,Tillfälligt sortiment,
2026-08-15,9538001,Barolo Bricco Boschis Cavallotto,borttagen,Tillfälligt sortiment,
2026-08-15,9540401,Poggio Di Sotto Brunello di Montalcino,borttagen,Tillfälligt sortiment,
2026-08-15,9546301,Oreno Toscana Rosso Tenuta Sette Ponti,borttagen,Tillfälligt sortiment,
2026-08-15,9554501,Orma,borttagen,Tillfälligt sortiment,
2026-08-15,9557601,Weingut Peter Jakob Kühn Jungfer GG Trocken,borttagen,Tillfälligt sortiment,
2026-08-15,9558701,Magma Rosso Frank Cornelissen,borttagen,Tillfälligt sortiment,
2026-08-15,9020701,Clos Apalta Vinothèque Lapostolle,borttagen,Tillfälligt sortiment,
2026-08-15,9066501,Weingut Hirsch Ried Gaisberg Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9452401,De Haan Altés La Serra Blanc,borttagen,Tillfälligt sortiment,
2026-08-15,9022401,Wittmann Kirchspiel Riesling Grosses Gewächs,borttagen,Tillfälligt sortiment,
2026-08-15,9230301,Son Antem Vespre,borttagen,Tillfälligt sortiment,
2026-08-15,9309901,Pommard Premier Cru Les Epentos Philippe Pacalet,borttagen,Tillfälligt sortiment,
2026-08-15,9260601,Viré-Clessé Clos de Buc Jean-Marie Chaland,borttagen,Tillfälligt sortiment,
2026-08-15,9225401,Kuyen by Antiyal,borttagen,Tillfälligt sortiment,
2026-08-15,9274901,Katharina Wechsler Fräulein Hu Rosé,borttagen,Tillfälligt sortiment,
2026-08-15,9462701,Otira Sauvignon Blanc,borttagen,Tillfälligt sortiment,
2026-08-15,9344501,Casa Castillo Pie Franco,borttagen,Tillfälligt sortiment,
2026-08-15,9508801,Textures de Pedra Raventós i Blanc,borttagen,Tillfälligt sortiment,
2026-08-15,9054101,Greystone Riesling Greystone Wines,borttagen,Tillfälligt sortiment,
2026-08-15,9251901,Vom Kalkmergel Spätburgunder,borttagen,Tillfälligt sortiment,
2026-08-15,9236001,Dog Point Sauvignon Blanc,borttagen,Tillfälligt sortiment,
2026-08-15,9265801,Dreissigacker Vintages Edition 5,borttagen,Tillfälligt sortiment,
2026-08-15,9266401,Saint Véran La Roche Domaine Frantz Chagnoleau,borttagen,Tillfälligt sortiment,
2026-08-15,9271001,Weissburgunder & Chardonnay Scheuermann,borttagen,Tillfälligt sortiment,
2026-08-15,9289701,Macération,borttagen,Tillfälligt sortiment,
2026-08-15,9312401,Galatrona Petrolo,borttagen,Tillfälligt sortiment,
2026-08-15,9212501,Vernaccia di San Gimignano Vigna Santa Margherita,borttagen,Tillfälligt sortiment,
2026-08-15,9131701,Valpolicella Superiore Musella,borttagen,Tillfälligt sortiment,
2026-08-15,9325301,Barolo Riserva Vigna San Giuseppe Cavallotto,borttagen,Tillfälligt sortiment,
2026-08-15,9332301,Val delle Corti Chianti Classico,borttagen,Tillfälligt sortiment,
2026-08-15,9332501,Bisci Verdicchio di Matelica,borttagen,Tillfälligt sortiment,
2026-08-15,9385701,Côte-Rôtie Blonde du Seigneur Domaine Georges Vernay,borttagen,Tillfälligt sortiment,
2026-08-15,9635701,Irancy Rouge Gabin et Felix Richoux,borttagen,Tillfälligt sortiment,
2026-08-15,9401201,Remelluri Blanco,borttagen,Tillfälligt sortiment,
2026-08-15,9393701,Les Blancs Manteaux Domaine de la Noblaie,borttagen,Tillfälligt sortiment,
2026-08-15,9397801,La Folle Noire d'Ambat Le Roc,borttagen,Tillfälligt sortiment,
2026-08-15,9397901,Vouvray Le Clos,borttagen,Tillfälligt sortiment,
2026-08-15,9403301,Domaine Vigneau-Chevreau Vouvray Clos de Rougemont,borttagen,Tillfälligt sortiment,
2026-08-15,9306901,Sancerre Les Bouffants Domaine de la Garenne,borttagen,Tillfälligt sortiment,
2026-08-15,9447601,Carril del Rey Bodegas Bernabeleva,borttagen,Tillfälligt sortiment,
2026-08-15,9448401,Garnacha de Vina Bonita Bodegas Bernabeleva,borttagen,Tillfälligt sortiment,
2026-08-15,9128101,Poggio al Vento Col d'Orcia,borttagen,Tillfälligt sortiment,
2026-08-15,9334501,Jungfer Riesling Peter Jakob Kühn,borttagen,Tillfälligt sortiment,
2026-08-15,9405601,G.D. Vajra Barolo Ravera,borttagen,Tillfälligt sortiment,
2026-08-15,9586101,Finca Elez Chardonnay Barrica,borttagen,Tillfälligt sortiment,
2026-08-15,9053501,La Spinetta Barbaresco Valeirano,borttagen,Tillfälligt sortiment,
2026-08-15,9067201,Neumeister Straden Sauvignon Blanc,borttagen,Tillfälligt sortiment,
2026-08-15,9295701,Montefalco Sagrantino Antonelli,borttagen,Tillfälligt sortiment,
2026-08-15,9406301,Vosne Romanée Premier Cru Les Suchots Domaine de l’Arlot,borttagen,Tillfälligt sortiment,
2026-08-15,9403401,Romanée Saint Vivant Grand Cru Domaine de l’Arlot,borttagen,Tillfälligt sortiment,
2026-08-15,9229401,Eclipse Domaine Saint-Remy,borttagen,Tillfälligt sortiment,
2026-08-15,9268101,Chablis Domaine Pattes Loup,borttagen,Tillfälligt sortiment,
2026-08-15,9313301,Gewurztraminer Goldert Grand Cru Domaine Zind-Humbrecht,borttagen,Tillfälligt sortiment,
2026-08-15,9592301,Etna Bianco Famiglia Statella,borttagen,Tillfälligt sortiment,
2026-08-15,9579301,Llopart Panoramic Corpinnat,borttagen,Tillfälligt sortiment,
2026-08-15,9033501,4 kilos 12 Volts,borttagen,Tillfälligt sortiment,
2026-08-15,9048901,Barolo Cannubi E. Pira & Figli Chiara Boschis,borttagen,Tillfälligt sortiment,
2026-08-15,9261001,Aphros Phaunus PET NAT White,borttagen,Tillfälligt sortiment,
2026-08-15,9314601,Soave Classico Monte Carbonare,borttagen,Tillfälligt sortiment,
2026-08-15,9494701,Stefano Amerighi Syrah,borttagen,Tillfälligt sortiment,
2026-08-15,9437201,Cirrus,borttagen,Tillfälligt sortiment,
2026-08-15,9301301,Pierre Amadieu Gigondas Domaine Grand Romane,borttagen,Tillfälligt sortiment,
2026-08-15,9448601,Dominio del Aguila Reserva,borttagen,Tillfälligt sortiment,
2026-08-15,9457901,Vallado Organic Superior,borttagen,Tillfälligt sortiment,
2026-08-15,9458801,Dominio del Aguila Picaro Clarete,borttagen,Tillfälligt sortiment,
2026-08-15,9032701,Château Yvonne La Folie,borttagen,Tillfälligt sortiment,
2026-08-15,9037301,Terreno Chianti Classico Riserva Le Bonille di Sopra,borttagen,Tillfälligt sortiment,
2026-08-15,9245501,Weingut Hirsch Ried Heiligenstein 1 ÖTW Riesling,borttagen,Tillfälligt sortiment,
2026-08-15,9207501,Weszeli Caractère Grüner Veltliner,borttagen,Tillfälligt sortiment,
2026-08-15,9125801,Domaine Santa Duc Aux Lieux Dits,borttagen,Tillfälligt sortiment,
2026-08-15,9274301,Domaine Santa Duc Habemus Papam,borttagen,Tillfälligt sortiment,
2026-08-15,9133301,Chablis Grand Cru Les Preuses William Fèvre,borttagen,Tillfälligt sortiment,
2026-08-15,9254601,Château La Lagune,borttagen,Tillfälligt sortiment,
2026-08-15,9353101,Château La Mission Haut-Brion,borttagen,Tillfälligt sortiment,
2026-08-15,9036301,Barolo Santo Stefano di Perno Giuseppe Mascarello,borttagen,Tillfälligt sortiment,
2026-08-15,9413701,Te Kairanga Estate Pinot Noir,borttagen,Tillfälligt sortiment,
2026-08-15,9420801,Curvos Sparkling Bruto,borttagen,Tillfälligt sortiment,
