Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
7183201,https://www.vivino.com/w/14640,3.9,265,
9272901,https://www.vivino.com/sv/stefan-meyer-loss-spatburgunder/w/11245359,3.9,339,
9371801,https://www.vivino.com/w/94969,3.9,264,
2005401,https://www.vivino.com/sv/maison-vialade-organic-blanc/w/13118424,0.0,5,
9388101,https://www.vivino.com/sv/the-vice-pinot-noir-rose/w/5462672,3.9,208,
588201,https://www.vivino.com/w/10699782,3.9,28,
205601,https://www.vivino.com/sv/muller-gruner-veltliner-vom-loess/w/13611286,3.8,186,
768602,https://www.vivino.com/sv/andre-clouet-grande-reserve-brut-champagne-grand-cru-bouzy/w/1108849,3.9,19959,
2016501,https://www.vivino.com/w/74450,3.9,208,
9580401,https://www.vivino.com/sv/carchelo-carchelo-c/w/77868,3.6,4183,
9479801,https://www.vivino.com/sv/la-spia-rosso-di-valtellina-nebbiolo/w/11276532,3.9,282,
3225301,https://www.vivino.com/w/17672,3.9,2241,
9045001,https://www.vivino.com/w/1523577,3.9,4163,
737201,https://www.vivino.com/w/2243607,3.9,15247,
5253301,https://www.vivino.com/sv/jerome-arnoux-tradition/w/9731266,3.9,5722,
381401,https://www.vivino.com/sv/union-de-producteurs-de-saint-emilion-les-hauts-de-granget-saint-emilion-grand-cru/w/1163453,3.9,6317,
755501,https://www.vivino.com/w/1462311,3.9,7734,
2281701,https://www.vivino.com/w/1983514,3.9,56,
7038401,https://www.vivino.com/sv/borgogno-langhe-rosso/w/2663754,3.7,6664,
768606,https://www.vivino.com/sv/andre-clouet-grande-reserve-brut-champagne-grand-cru-bouzy/w/1108849,3.9,19959,
295501,https://www.vivino.com/sv/punt-road-pinot-noir-napoleone-vineyard/w/1677926,3.7,3817,
9401906,https://www.vivino.com/w/1739434,3.9,46,
222101,https://www.vivino.com/w/1151294,3.9,945,
270001,https://www.vivino.com/sv/ricasoli-chianti/w/12210,3.5,14734,
737202,https://www.vivino.com/w/2243607,3.9,15247,
9127901,https://www.vivino.com/sv/ken-forrester-the-misfits-grenache/w/11804008,3.9,301,
272301,https://www.vivino.com/w/1151294,3.9,945,
730601,https://www.vivino.com/sv/pio-cesare-nebbiolo/w/22549,3.9,12303,
9386501,https://www.vivino.com/sv/tikves-luda-mara-vranec/w/12655079,3.9,1177,
7437301,https://www.vivino.com/sv/champagne-beaumont-des-crayeres-champagne-fleur-de-prestige-millesime-brut/w/83964,3.9,1324,
282515,https://www.vivino.com/sv/adega-de-moncao-alvarinho-deu-la-deu/w/1150168,3.9,17080,
2010801,https://www.vivino.com/w/22925,3.9,186,
2154001,https://www.vivino.com/w/1141982,3.9,345,
9220001,https://www.vivino.com/sv/lagar-de-cervera-albarino/w/1569801,3.9,15604,
9486401,https://www.vivino.com/sv/henry-pelle-menetou-salon-morogues-blanc/w/1195860,3.9,5309,
9488401,https://www.vivino.com/sv/frontonio-supersonico-garnacha/w/4968370,3.9,1824,
9256201,https://www.vivino.com/sv/altos-las-hormigas-vision-sur-malbec/w/13644140,3.9,27,
9346601,https://www.vivino.com/sv/pian-dell-orino-rosso-di-montalcino/w/5744491,4.1,303,
582201,https://www.vivino.com/sv/leitz-eins-zwei-dry-riesling/w/1218213,3.8,13861,
591401,https://www.vivino.com/sv/ruppertsberger-riesling-hofstuck/w/2245334,3.8,9734,
2018434,https://www.vivino.com/sv/pizzolato-so-easy-moscato-dolce-frizzante/w/1658531,3.8,188,
2265201,https://www.vivino.com/sv/navajas-rioja-crianza-tinto/w/78766,3.8,14665,
5648201,https://www.vivino.com/sv/enjoy-wine-spirits-this-is-the-bomb-dark-big-appassimento/w/12106545,3.8,2749,
225701,https://www.vivino.com/w/5764568,3.8,706,
768801,https://www.vivino.com/w/1108718,3.8,48,
269001,https://www.vivino.com/sv/charles-smith-kung-fu-girl-riesling/w/1084272,3.8,65204,
7203801,https://www.vivino.com/sv/ruppertsberger-imperial-riesling/w/3436615,3.8,11946,
235201,https://www.vivino.com/sv/chateau-de-la-liquiere-terre-du-sud-faugeres-faugeres/w/13690586,3.8,273,
269301,https://www.vivino.com/sv/les-vignerons-des-coteaux-romanais-touraine-le-grand-st-vincent-sauvignon-x67d1/w/1305017,3.8,189,
259601,https://www.vivino.com/sv/casal-garcia-vinho-verde/w/1226459,3.8,96428,
395801,https://www.vivino.com/sv/chateau-de-seguin-bordeaux-superieur/w/1129187,3.6,22907,
265901,https://www.vivino.com/w/8622,3.8,4082,
7373801,https://www.vivino.com/sv/king-s-bay-sauvignon-blanc/w/5269150,3.8,5896,
2225701,https://www.vivino.com/w/1214992,3.8,145,
8253401,https://www.vivino.com/sv/bouchard-aine-et-fils-chardonnay-bourgogne/w/83011,3.8,2698,
268601,https://www.vivino.com/w/7414824,3.8,25,
778101,https://www.vivino.com/w/1108718,3.8,48,
789102,https://www.vivino.com/w/83953,3.8,11005,
789101,https://www.vivino.com/w/83953,3.8,11005,
1241901,https://www.vivino.com/w/3743,3.8,278,
2225702,https://www.vivino.com/w/1214992,3.8,145,
768806,https://www.vivino.com/w/1108718,3.8,48,
250101,https://www.vivino.com/sv/el-esteco-malbec/w/1788095,3.8,6503,
223401,https://www.vivino.com/w/75117,3.8,215,
770801,https://www.vivino.com/sv/gardo-morris-sauvignon-blanc-sparkling/w/1262089,3.7,3987,
7052101,https://www.vivino.com/w/5576824,3.8,51,
292201,https://www.vivino.com/sv/pratsch-matznerhugel-organic-gruner-veltliner/w/9936011,3.8,2013,
5095701,https://www.vivino.com/sv/champagne-beaumont-des-crayeres-champagne-grand-rose-brut/w/83963,3.8,864,
