Varunummer,Vivino_pris_per_750ml,Vivino_prispunkter,Vivino_prisargang
7937401,646.0,1,2021
5425001,552.45,2,2013
5921202,159.0,1,0
9341201,302.91,1,2021
9559301,292.45,2,2018
9388501,229.0,3,2024
9208101,199.0,1,2023
7720102,591.18,1,1996
9481001,141.24,2,2025
9038301,607.17,1,2017
9059001,364.95,2,2014
9048001,275.89,1,2022
202601,897.0,1,2022
9118401,477.53,4,0
7212201,84.46,1,2020
3191101,863.0,1,2023
2007001,99.0,1,2022
7905601,168.91,1,2009
291001,311.0,1,2024
7822701,229.95,2,0
9328801,922.0,1,2015
9024501,1372.46,4,2016
9296701,1488.0,1,2019
9058701,659.95,3,2021
2005501,414.39,1,2020
669001,119.0,1,2014
290301,248.0,1,2019
7123501,136.0,3,0
7589301,299.48,4,2022
7263901,245.03,3,2025
9258101,165.0,1,2025
9494001,195.51,2,2025
9541401,157.65,1,2009
9319401,349.0,1,2024
9489901,355.16,2,2020
9002401,183.55,3,2020
9005701,140.76,1,0
9325201,190.31,1,2020
9601101,293.37,2,2024
9307001,427.17,2,2024
9275601,3741.0,1,2004
9472601,6159.0,1,2021
9006301,17753.31,2,2019
9469001,14587.62,6,2019
9279001,6647.0,2,2022
9015701,9335.08,5,2021
9293901,3996.0,1,2012
9471801,10936.78,2,1968
9058906,6647.0,2,2022
9235401,2261.0,2,2022
9577301,3486.74,2,2011
9577501,3280.93,2,2009
9584001,1372.46,4,2016
9350906,3226.49,2,2021
9462201,4059.0,1,2022
9462401,5979.0,1,2022
9405506,4917.04,2,2008
9341501,2040.5,6,2020
9383701,1437.0,1,2020
9474106,6647.0,2,2022
9222501,9335.08,5,2021
9508401,18817.0,1,2019
9291701,1082.94,2,2020
9225801,7585.51,4,2020
9356301,10936.78,2,1968
9470201,2040.5,6,2020
9484201,561.91,1,2021
9432501,2135.0,1,2021
9127801,2649.22,2,2023
9416901,8232.48,5,2012
9012601,905.56,2,2017
9214001,8392.94,2,2016
9007201,2384.98,2,2020
9380001,996.0,1,2022
661201,149.95,2,2019
7243701,1858.47,2,2019
7074501,3186.0,1,2017
7139901,219.0,1,2024
9397601,1325.0,1,2021
9026401,4689.95,7,2008
9442301,2290.11,2,2019
9026406,4689.95,7,2008
7975201,669.0,1,0
7846101,186.0,1,2023
9021601,162.22,2,2019
522201,348.48,2,2023
638201,342.0,1,2025
7328101,174.0,1,2021
7396408,269.48,4,2025
9306006,2074.0,1,2020
9451901,354.71,3,2022
9509201,476.0,1,2021
7980801,139.63,1,2019
9305201,1999.0,1,2018
699701,189.0,1,2025
9116701,1432.09,2,2020
7144106,168.3,2,2024
9590401,4314.0,1,2021
9373701,16249.76,2,2019
9001001,205.66,2,2023
9386802,585.56,1,2024
9312101,227.38,2,2020
9419706,695.5,2,2021
9448301,601.0,1,2024
9433301,929.0,1,2020
9420702,591.18,1,1996
7206802,619.5,1,2018
9581801,477.62,4,2018
9020801,595.0,1,2023
9044901,587.45,2,2017
9004201,6569.0,1,2021
9050801,1294.98,3,2021
9250601,3801.84,2,2020
9538201,1691.85,2,2020
9451501,403.0,1,2024
9437701,2364.95,2,2019
9447101,7585.51,4,2020
9555301,2136.0,1,2014
9434506,1109.01,3,2023
7555701,354.95,2,2023
754502,690.01,2,0
9281201,1298.6,2,2021
9361601,6289.0,3,2006
7487401,298.0,3,2023
5339801,869.95,5,2020
9478001,2146.0,1,2020
9354001,3741.0,1,2004
7287701,144.69,2,0
7151301,209.0,1,2021
8408901,279.0,1,2022
308301,294.98,5,2020
7632301,191.43,1,0
9249101,453.0,1,2023
8216401,314.17,1,2020
9375901,391.0,1,2023
7402901,301.0,1,2019
9594801,416.0,3,2023
9300501,479.0,1,2021
7484002,213.47,2,2023
7185402,176.0,1,2025
9278301,4626.98,4,2019
5226201,240.0,1,2024
9000701,4581.0,1,2013
9008801,371.6,1,2016
9394302,638.03,3,2021
5029402,581.96,2,2019
9405701,478.0,1,2025
7698001,279.0,1,2025
9039202,819.95,2,2018
7041901,179.0,6,2025
7574101,315.3,3,2024
9519301,262.0,1,2024
207001,306.29,1,2017
9058801,286.0,1,2023
9387201,608.0,1,2023
9211501,245.0,1,2024
9479401,699.0,1,2022
9349006,4917.04,2,2008
9379501,7374.0,1,2021
9471906,2533.65,7,2017
7171601,162.72,1,2022
5948001,159.0,1,2019
535301,269.0,1,2022
9023101,685.86,2,2023
8041301,369.0,1,2020
7549101,120.0,1,2024
234506,595.0,1,2021
9122401,292.77,3,2023
9117601,245.24,2,2024
9264501,796.23,2,2023
9526201,1365.64,2,2020
9209501,405.38,1,2025
9011501,1967.0,1,2016
223701,140.76,1,0
9323102,528.5,2,2011
9067401,595.0,1,2021
9120201,479.0,1,2023
9032901,5409.48,4,2021
9293701,126.12,1,2019
7074201,199.22,2,2024
7223006,1528.0,1,2019
7081201,370.48,1,2018
8061101,276.56,1,2021
5030101,1133.28,2,2020
3236101,282.97,2,2021
7196701,251.0,1,2014
7373701,1349.5,2,2021
7217006,1907.5,2,2020
7010206,4689.95,7,2008
7015901,1099.0,1,2024
7962306,179.0,6,2025
7135701,204.61,2,2025
9024401,232.36,2,2023
9050901,300.64,2,2024
9037301,326.56,1,2022
9285001,409.95,5,2022
9017001,383.17,4,2023
9348601,201.57,1,0
9369501,869.0,3,2023
9372001,490.35,2,2023
9428401,469.0,1,2022
9015201,464.95,2,2017
9036401,581.24,2,2023
9509701,1868.37,5,2018
9390701,777.0,2,2022
9339801,140.76,1,0
9208301,239.0,1,2024
9424701,1239.95,3,2022
9262601,319.0,1,2024
9273801,249.99,1,2016
9530001,236.0,1,0
9133301,2645.0,1,2021
9131201,399.0,1,2025
259801,149.0,1,2024
9214601,215.85,2,2025
9181501,297.45,2,2016
9242001,457.45,2,2021
9517201,970.54,2,2022
9518801,965.49,2,2022
9519501,862.0,1,2021
9600001,932.32,2,2020
9369601,1797.47,8,2020
9599801,1408.14,2,2019
9380201,1428.0,3,2021
9124201,279.0,1,2025
9122201,794.95,2,2014
9215401,1006.48,3,2021
9374301,1199.0,2,2021
9317001,364.95,2,2014
9422401,1579.21,2,2020
9514101,1229.08,2,2023
9512601,1154.58,2,2024
9309001,493.5,2,2021
9519201,2711.98,2,2022
9447001,1325.0,1,2021
9003201,211.97,2,2025
9125001,458.0,3,2023
9245601,449.0,3,2024
9057101,640.73,1,2017
9303101,153.6,1,2019
9288801,644.25,2,2020
9408501,570.0,1,2022
9203901,234.22,1,2020
9044001,253.0,2,2024
9304801,1800.55,2,2022
9254501,614.02,2,2022
9389301,319.46,3,2024
9358101,234.95,2,2017
9386601,450.43,1,1997
9042701,818.0,1,2020
9348401,332.19,2,2023
9360301,1097.97,6,2021
9362401,879.0,1,2022
9362801,1095.47,2,2021
9512001,453.93,2,2016
9359701,649.0,1,2021
9568001,228.59,1,0
9256801,843.2,3,2022
9284506,6647.0,2,2022
9125601,789.48,2,2020
9324601,326.23,2,2023
9206501,635.66,3,2018
9484501,500.5,2,2023
9061306,1531.0,1,2015
9023701,415.52,1,2020
9320301,7599.35,6,2021
9424901,558.08,3,2021
9483601,1903.05,3,2021
9422001,399.0,1,2021
9402801,389.0,2,2024
9200501,5225.62,2,2017
9218801,287.15,3,2022
9396401,1801.7,3,2014
9404601,4059.0,1,2022
9209201,1328.76,3,2021
9023801,1028.9,2,2023
9404101,1745.4,1,1998
9212801,653.0,1,2017
9014501,1679.0,1,2021
9373801,450.0,3,2024
9118301,570.0,1,2020
