Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
281101,Château Mont-Redon Châteauneuf-du-Pape,Château Mont-Redon,369.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Cinsault, Counoise, Grenache, Mourvèdre, Muscardin",4.3,413,0.82,vivino-sök,https://www.vivino.com/w/7729958
257301,Marqués de Riscal Reserva,Marqués de Riscal,199.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,"Tempranillo, Graciano, Mazuelo",4.1,261478,,websearch,https://www.vivino.com/sv/marques-de-riscal-reserva/w/1163903
2018302,Castello di Ama San Lorenzo Gran Selezione,Castello di Ama,169.0,375 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Merlot, Malvasia nera",4.3,317,0.88,vivino-sök,https://www.vivino.com/w/2411943
741802,Bollinger Special Cuvée Brut,Bollinger,399.0,375 ml,Glasflaska,Torrt vitt,Frankrike,"Pinot noir, Chardonnay, Pinot meunier",4.3,75235,0.82,vivino-sök,https://www.vivino.com/w/18929
741806,Bollinger Special Cuvée Brut,Bollinger,1499.0,1500 ml,Glasflaska,Torrt vitt,Frankrike,"Pinot noir, Chardonnay, Pinot meunier",4.3,75235,0.82,vivino-sök,https://www.vivino.com/w/18929
9542501,Allegrini Amarone della Valpolicella Classico,Allegrini,799.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Corvina, Corvinone, Oseleta, Rondinella",4.3,206,0.94,vivino-sök,https://www.vivino.com/w/8195
2018901,Gorgeous Brut Rosé,Old Road Wine Co,149.0,750 ml,Glasflaska,Rosé,Sydafrika,"Chardonnay, Pinot noir",,,,,
778702,Nivole,Michele Chiarlo,99.0,375 ml,Glasflaska,Sött,Italien,,4.2,12081,,vertex-ai-search,https://www.vivino.com/sv/michele-chiarlo-moscato-d-asti-nivole/w/86559
754901,Pol Roger Brut Réserve,Pol Roger,589.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.2,49297,0.84,vivino-sök,https://www.vivino.com/w/1884610
259001,M de Minuty Rosé,Château Minuty,179.0,750 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Grenache, Syrah, Cinsault, Tibouren",4.2,137,0.82,vivino-sök,https://www.vivino.com/w/1193781
7656001,Barolo Giacosa Fratelli,Giacosa Fratelli,219.0,750 ml,Lättare glasflaska,Stramt & Nyanserat,Italien,Nebbiolo,3.9,11132,,websearch,https://www.vivino.com/sv/giacosa-fratelli-barolo/w/92448
221101,Domaine du Vieux Lazaret Châteauneuf-du-Pape,Domaine du Vieux Lazaret,289.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Cinsault, Counoise, Grenache, Mourvèdre, Syrah",4.2,672,0.8,vivino-sök,https://www.vivino.com/w/14526
290102,Château Dereszla Tokaji Aszù 5 Puttonyos,Château Dereszla,229.0,500 ml,Glasflaska,Sött,Ungern,,4.2,5683,,websearch,https://www.vivino.com/sv/hu-chateau-dereszla-aszu-5-puttonyos/w/1163076
754906,Pol Roger Brut Réserve,Pol Roger,1229.0,1500 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.2,49297,0.84,vivino-sök,https://www.vivino.com/w/1884610
533801,Sancerre Domaine de la Villaudière,J M Reverdy,249.0,750 ml,Glasflaska,Friskt & Fruktigt,Frankrike,Sauvignon blanc,4.0,16283,,websearch,https://www.vivino.com/sv/domaine-de-la-villaudiere-sancerre/w/1165051
2012012,Chardonnayburk,Quarisa Wines,69.0,500 ml,Burk,Friskt & Fruktigt,Australien,Chardonnay,,,,,
259002,M de Minuty Rosé,Château Minuty,99.0,375 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Cinsault, Grenache, Syrah",4.2,137,0.82,vivino-sök,https://www.vivino.com/w/1193781
754902,Pol Roger Brut Réserve,Pol Roger,329.0,375 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.2,49297,0.84,vivino-sök,https://www.vivino.com/w/1884610
626701,Xavier Vignon Châteauneuf-du-Pape,Xavier Vignon,289.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Grenache, Mourvèdre, Syrah",4.1,9285,,vertex-ai-search,https://www.vivino.com/sv/xavier-vignon-chateauneuf-du-pape-chateauneuf-du-pape/w/5811659
2235001,Tommasi Amarone della Valpolicella Classico,Tommasi Viticoltori,349.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Corvina veronese, Rondinella, Corvinone, Oseleta",4.2,480,0.95,vivino-sök,https://www.vivino.com/w/7103
281201,Casas Patronales Gran Reserva Carmenère,Casas Patronales,129.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Chile,Carmenère,4.2,4512,,vertex-ai-search,https://www.vivino.com/sv/casas-patronales-gran-reserva-carmenere-maule-valley/w/7570761
234701,CARM,CARM - Casa Agricola Roboredo Madeira SA,112.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Portugal,"Touriga naçional, Tinta roriz, Touriga franca",4.2,94,,vertex-ai-search,https://www.vivino.com/sv/carm-lbv-port-k17f33/w/6347366
7771001,Henriot Millésimé Brut,Champagne Henriot,499.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Pinot noir, Chardonnay",4.2,879,0.85,vivino-sök,https://www.vivino.com/w/1151129
229101,Le Hurlevent Châteauneuf-du-Pape,Famille Roumieux,269.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,,4.1,8362,,websearch,https://www.vivino.com/sv/vignobles-mayard-le-hurlevent-chateauneuf-du-pape/w/1524212
1232401,Zenato Ripassa Superiore,Zenato,249.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Corvina, Rondinella, Oseleta",4.2,1561,0.82,vivino-sök,https://www.vivino.com/w/1380075
273901,Vve Fourny & Fils Blanc de Blancs Brut Premier Cru,Vve Fourny & Fils,409.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.2,603,0.85,vivino-sök,https://www.vivino.com/w/9423570
7752201,Charles Heidsieck Brut Réserve,Charles Heidsieck,589.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.2,36886,,vertex-ai-search,https://www.vivino.com/sv/charles-heidsieck-brut-reserve-champagne/w/86290
419601,Moulin Touchais,Touchais,399.0,750 ml,Glasflaska,Sött,Frankrike,,4.2,7597,,vertex-ai-search,https://www.vivino.com/sv/fr-moulin-touchais-coteaux-du-layon/w/1190921
760201,Louis Roederer Collection 246,Louis Roederer,589.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot noir, Pinot meunier",4.2,1128,,vertex-ai-search,https://www.vivino.com/sv/louis-roederer-collection-246-champagne/w/13132837
9300901,Masseria Li Veli Askos Verdeca,Masseria Li Veli,199.0,750 ml,Glasflaska,Friskt & Fruktigt,Italien,Verdeca,4.2,1462,0.82,vivino-sök,https://www.vivino.com/w/1237550
9449701,Branco de Sta. Cruz Telmo Rodriguez,Telmo Rodriguez,349.0,750 ml,Glasflaska,Fylligt & Smakrikt,Spanien,"Dona branca, Palomino, Treixadura, Godello",4.2,137,0.83,vivino-sök,https://www.vivino.com/w/2509745
9280401,Champagne Deutz Blanc de Blancs,Champagne Deutz,999.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.2,210,0.91,vivino-sök,https://www.vivino.com/w/1142211
9532201,Barolo Gavarini Chiniera Elio Grasso,Azienda Agricola Elio Grasso,1149.0,750 ml,Glasflaska,,Italien,,4.2,302,0.9,vivino-sök,https://www.vivino.com/w/22526
252301,Black Knight Cabernet Sauvignon,Limestone Coast Wines,119.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Australien,Cabernet sauvignon,,,,,
