Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
796202,Château La Rame,Chateau La Rame,149.0,375 ml,Glasflaska,Sött,Frankrike,,3.7,1099,,websearch,https://www.vivino.com/sv/la-rame-bordeaux-rouge/w/1718633
214401,Poliziano Vino Nobile di Montepulciano Viti Nuove,Poliziano,189.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Sangiovese,4.1,588,0.86,vivino-sök,https://www.vivino.com/w/18794
2307101,Barbera d'Alba Superiore,G.D. Vajra,235.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Italien,Barbera,4.1,270,1.0,vivino-sök,https://www.vivino.com/w/1169875
300401,Château Suduiraut,Château Suduiraut,799.0,750 ml,Glasflaska,Sött,Frankrike,,4.1,50,0.81,vivino-sök,https://www.vivino.com/w/1155918
355001,Château Labadie,Château Labadie,150.0,750 ml,Glasflaska,Stramt & Nyanserat,Frankrike,"Merlot, Cabernet sauvignon, Cabernet franc",3.8,8627,,websearch,https://www.vivino.com/sv/labadie-medoc/w/1177846
9322301,Gaston Chiquet Blanc de Blancs d'Aÿ,Gaston Chiquet,499.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,,,,,
9593401,Santorini Assyrtiko Santo Wines,Santo Wines,300.0,750 ml,Glasflaska,Fylligt & Smakrikt,Grekland,Assyrtiko,4.1,709,0.88,vivino-sök,https://www.vivino.com/w/1122192
9208201,Mâcon-Chardonnay L'Échenault de Serre,Domain des Crêts,269.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Frankrike,Chardonnay,4.1,3380,,vertex-ai-search,https://www.vivino.com/sv/domaine-des-crets-climat-l-echenault-de-serre-macon-chardonnay/w/5494538
9449101,Pegaso Barrancos de Pizarra,De Pegaso - Telmo Rodriguez,395.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,Garnacha,4.1,28,1.0,vivino-sök,https://www.vivino.com/w/1179898
9450101,Giró de Abargues Pepe Mendoza,Pepe Mendoza Casa Agricola,249.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Spanien,,4.1,162,0.84,vivino-sök,https://www.vivino.com/w/8413099
9437401,Atlántico El Paraguas,Bodegas El Paraguas,299.0,750 ml,Glasflaska,Friskt & Fruktigt,Spanien,"Treixadura, Godello, Albariño",4.1,231,0.8,vivino-sök,https://www.vivino.com/w/1895060
9031401,Slightly Pinot Noir,Scheid Family Wines,119.0,750 ml,Lättare glasflaska,Mjukt & Bärigt,USA,Pinot noir,,,,,
7300001,Lepont & Fils Bourgogne Chardonnay,Urban Wines,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Chardonnay,,,,,
8140101,Jean Biecher Pinot Gris Organic Réserve,Jean Biecher,115.0,750 ml,Lättare glasflaska,Druvigt & Blommigt,Frankrike,Pinot gris,3.7,4811,,websearch,https://www.vivino.com/sv/jean-biecher-pinot-gris-organic/w/1682556
295135,Pizzolato Moscato Frizzante Organic,La Cantina Pizzolato,42.0,200 ml,Burk,Torrt vitt,Italien,Moscato,3.8,188,,websearch,https://www.vivino.com/sv/pizzolato-so-easy-moscato-dolce-frizzante/w/1658531
7115901,Patriarche Bourgogne Chardonnay Cuvée des Visitandines,Patriarche Père & Fils,139.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Frankrike,Chardonnay,3.6,700,,websearch,https://www.vivino.com/sv/fr-patriarche-pere-fils-cuvee-des-visitandines-bourgogne-chardonnay/w/7970850
7667101,Bread & Butter Pinot Noir,Bread & Butter Wines,169.0,750 ml,Glasflaska,Kryddigt & Mustigt,USA,,4.0,97263,,vertex-ai-search,https://www.vivino.com/sv/bread-and-butter-pinot-noir/w/1724151
7314201,Gérard Bertrand Château L'Hospitalet La Réserve Rouge,Gérard Bertrand,225.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Frankrike,"Grenache, Mourvèdre, Syrah",,,,,
670701,Contacto Alvarinho,Anselmo Mendes,149.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,Alvarinho,4,1347,1.0,vivino-sök,https://www.vivino.com/w/1201076
721801,Dr L Riesling,Dr Loosen,115.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Tyskland,Riesling,4,1259,0.96,vivino-sök,https://www.vivino.com/w/24262
408702,Château Menota,Chateau Menota,129.0,375 ml,Glasflaska,Sött,Frankrike,,4.0,208,,vertex-ai-search,https://www.vivino.com/sv/menota-sauternes-sauternes/w/1404582
270501,Brolio,Ricasoli,149.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Colorino",4.0,6839,,vertex-ai-search,https://www.vivino.com/sv/ricasoli-brolio-chianti-classico-riserva/w/1285396
229401,Dreissigacker Riesling Organic Trocken,Weingut Dreissigacker,142.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Tyskland,Riesling,,,,,
7203401,Alain Jaume Côtes du Rhône Grand Veneur Organic Reserve,Alain Jaume,137.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Frankrike,"Grenache, Syrah",3.7,507,,websearch,https://www.vivino.com/sv/alain-jaume-domaine-grand-veneur-cotes-du-rhone-organic-reserve/w/7045000
7668601,Casa Marzoni Gran Marzoni Appassimento,Casa Marzoni,145.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Primitivo,4.0,11508,,vertex-ai-search,https://www.vivino.com/sv/casa-marzoni-gran-marzoni-appassimento-primiero/w/6691225
560201,Tapiz Chardonnay Viognier,Bodegas Tapiz,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Argentina,"Chardonnay, Viognier",,,,,
9222801,Poggio al Leone Morellino di Scansano Riserva,Tenuta della Famiglia Cecchi,169.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Cabernet sauvignon",,,,,
759201,Nicolas Feuillatte Blanc de Blancs Collection Vintage,Nicolas Feuillatte,399.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.0,12031,,vertex-ai-search,https://www.vivino.com/sv/nicolas-feuillatte-collection-vintage-blanc-de-blancs-brut-millesime-champagne/w/6266015
532801,Monti Garbi Ripasso,Tenuta Sant' Antonio,159.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,,,,,,
7580201,Frantzén & Cauble,Björn Frantzén,179.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Frankrike,,4.0,2163,,vertex-ai-search,https://www.vivino.com/sv/frantzen-cauble-signature-blend-cotes-du-rhone/w/12550614
9513201,Domaine du Clos de Sixte Alain Jaume,Alain Jaume,169.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,,4,433,0.9,vivino-sök,https://www.vivino.com/w/1161809
7412501,Chavin Côtes de Provence Rosé,Domaines Pierre Chavin,139.0,750 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Grenache, Syrah, Cinsault",3.7,2207,,websearch,https://www.vivino.com/sv/pierre-chavin-cotes-de-provence-organic-rose/w/2417810
1238501,Zenato Valpolicella Classico Superiore,Zenato,159.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,"Corvina veronese, Rondinella, Corvinone",4,477,0.95,vivino-sök,https://www.vivino.com/w/12385
2232501,Marquis des Beys Red,Domaine des Tourelles,239.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Libanon,"Cabernet sauvignon, Syrah",4.0,4705,,vertex-ai-search,https://www.vivino.com/sv/domaine-des-tourelles-bekaa-valley-marquis-des-beys-rouge/w/1145002
536404,Dr Loosen Riesling Beerenauslese,Dr Loosen,159.0,187 ml,Glasflaska,Sött,Tyskland,,4,54,0.77,vivino-sök,https://www.vivino.com/w/1193567
7022701,Barolo Fontanafredda,Fontanafredda,229.0,750 ml,Glasflaska,Stramt & Nyanserat,Italien,Nebbiolo,4,1297,0.83,vivino-sök,https://www.vivino.com/w/6027081
2006214,Le Rosé Domaine de la Bargemone,Cave de la Bargemone,62.0,250 ml,Burk,,Frankrike,,4.0,3218,,websearch,https://www.vivino.com/sv/commanderie-de-la-bargemone-commanderie-de-la-bargemone-rose/w/1234771
9007801,Château de Campuget Syrah Grenache 1753,Château de Campuget,149.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Grenache, Syrah",4.0,216,,vertex-ai-search,https://www.vivino.com/sv/chateau-de-campuget-seventeen-fiftythree-syrah-grenache/w/7841046
228702,Nittnaus Beerenauslese,Weingut Nittnaus,129.0,375 ml,Glasflaska,Sött,Österrike,,4.0,2139,,vertex-ai-search,https://www.vivino.com/sv/weingut-hans-und-christine-nittnaus-beerenauslese-exquisit/w/1376149
468202,Grand Tokaj Szamorodni,Grand Tokaj,159.0,500 ml,Glasflaska,Sött,Ungern,,4,228,0.91,vivino-sök,https://www.vivino.com/w/1237190
9281101,Rogue Vine Jamón Jamón,Rogue Vine,139.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Chile,Moscatel,4.0,804,,vertex-ai-search,https://www.vivino.com/sv/rogue-vine-jamon-jamon-grand-itata-white-valle-de-itata/w/5694643
559501,Chablis Vieilles Vignes Sainte Claire J M Brocard,J M Brocard,232.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Chardonnay,4.0,10622,,vertex-ai-search,https://www.vivino.com/sv/jean-marc-brocard-chablis-sainte-claire-vieilles-vignes/w/1374713
255001,Domaine Helena Mount St Helena Vineyard Cabernet Sauvignon,Domaine Helena,249.0,750 ml,Glasflaska,Fruktigt & Smakrikt,USA,Cabernet sauvignon,4.0,262,,vertex-ai-search,https://www.vivino.com/sv/domaine-helena-cabernet-sauvignon/w/12880702
9241801,Ameztoi Txakoli,Txakoli Ameztoi,169.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Spanien,Hondarrabi zuri,4.0,6423,,vertex-ai-search,https://www.vivino.com/sv/ameztoi-txakoli-txakoli-blanco/w/2495226
556501,Chablis Sainte Claire J M Brocard,J M Brocard,195.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Chardonnay,4,1390,0.74,vivino-sök,https://www.vivino.com/w/1180709
9428301,Bargemone Libre Rosé,Domaine Bargemone,199.0,750 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Syrah, Grenache noir, Cabernet sauvignon, Rolle",4.0,82,,vertex-ai-search,https://www.vivino.com/sv/bargemone-libre-rose/w/12541119
7930701,Juan Gil Silver Label,Bodegas Juan Gil,159.0,750 ml,Lättare glasflaska,,Spanien,Monastrell,4,1281,0.89,vivino-sök,https://www.vivino.com/w/5282020
9500901,L'Extrême Domaine du Causse d'Arboras,Domaine du Causse d'Arboras,199.0,750 ml,Glasflaska,,Frankrike,"Syrah, Grenache noir, Mourvèdre",4.0,219,,websearch,https://www.vivino.com/sv/causse-d-arboras-153586-l-extreme/w/7349686
5694501,Tissot & Potel La Sixième Côte Chardonnay,MICHEL TISSOT,145.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Frankrike,"Chardonnay, Savagnin",,,,,
745001,Launois Blanc de Blancs Grand Cru Réserve,Launois Père et Fils,399.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.0,4334,,vertex-ai-search,https://www.vivino.com/sv/launois-pere-and-fils-reserve-blanc-de-blancs-champagne-grand-cru-le-mesnil-sur-oger/w/1323547
5404101,Haut-Mouleyre Crémant de Bordeaux,Château Haut-Mouleyre,109.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Merlot, Sémillon",3.8,2321,,websearch,https://www.vivino.com/sv/haut-mouleyres-cremant-de-bordeaux-brut/w/9611439
3247201,Le Volte dell'Ornellaia,Ornellaia,199.0,750 ml,Lättare glasflaska,Stramt & Nyanserat,Italien,"Cabernet sauvignon, Merlot, Petit verdot",,,,,
270502,Brolio,Ricasoli,95.0,375 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Merlot, Cabernet sauvignon",4.0,6839,,vertex-ai-search,https://www.vivino.com/sv/ricasoli-brolio-chianti-classico-riserva/w/1285396
564801,Chassagne-Montrachet Joseph Drouhin,Joseph Drouhin,949.0,750 ml,Glasflaska,Fylligt & Smakrikt,Frankrike,Chardonnay,4,105,0.86,vivino-sök,https://www.vivino.com/w/24094
369002,Castelnau de Suduiraut,Château Suduiraut,169.0,375 ml,Glasflaska,Sött,Frankrike,,4,433,0.91,vivino-sök,https://www.vivino.com/w/1155918
657801,District 7 Pinot Noir,Scheid Family Wines,149.0,750 ml,Glasflaska,Kryddigt & Mustigt,USA,Pinot noir,,,,,
223501,Black Stallion Los Carneros Pinot Noir,Black Stallion Estate Winery,299.0,750 ml,Glasflaska,Kryddigt & Mustigt,USA,Pinot noir,4.0,10436,,vertex-ai-search,https://www.vivino.com/sv/black-stallion-pinot-noir/w/3645800
2015401,Cantina Kurtatsch Pinot Noir,Cantina Kurtatsch,189.0,750 ml,Lättare glasflaska,Mjukt & Bärigt,Italien,Pinot noir,,,,,
7935301,Minuty Prestige Rosé,Château Minuty,199.0,750 ml,Glasflaska,Friskt & Bärigt,Frankrike,"Grenache, Syrah, Rolle, Cinsault",4,448,0.89,vivino-sök,https://www.vivino.com/w/1222363
583701,Bourgogne Les Murelles Domaine Roux,Domaine Roux,199.0,750 ml,Glasflaska,Fylligt & Smakrikt,Frankrike,Chardonnay,,,,,
7725301,André Clouet Brut Rosé,André Clouet,479.0,750 ml,Glasflaska,,Frankrike,,4.0,3460,,vertex-ai-search,https://www.vivino.com/sv/andre-clouet-brut-rose-no-3-champagne/w/11963626
9216601,Bernard-Massard Cuvée 1921,Bernard-Massard,199.0,750 ml,Glasflaska,Torrt vitt,Luxemburg,"Chardonnay, Pinot blanc, Pinot gris, Pinot noir, Riesling",4.0,208,,vertex-ai-search,https://www.vivino.com/sv/bernard-massard-cuvee-1921/w/9423766
295114,Pizzolato Moscato Frizzante Organic,La Cantina Pizzolato,42.0,200 ml,Burk,Torrt vitt,Italien,Moscato,,,,,
9010401,La Dilettante Brut Catherine et Pierre Breton,Domaine Catherine et Pierre Breton,230.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chenin blanc,4.0,939,,vertex-ai-search,https://www.vivino.com/sv/domaine-breton-catherine-pierre-breton-la-dilettante-brut/w/1722503
7012001,ÀN/2 Ànima Negra,Ànima Negra,289.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,"Callet, Syrah, Manto negro, Fogoneu",4.0,28201,,vertex-ai-search,https://www.vivino.com/sv/anima-negra-an-2/w/86683
626501,Rua Pinot Noir,Mora Wines,189.0,750 ml,Glasflaska,Kryddigt & Mustigt,Nya Zeeland,Pinot noir,,,,,
2256201,Seghesio Sonoma Zinfandel,Seghesio Family Vineyards,249.0,750 ml,Glasflaska,Fruktigt & Smakrikt,USA,,4,392,0.89,vivino-sök,https://www.vivino.com/w/6369
7536001,Black Stallion Napa Valley Chardonnay,Black Stallion Estate Winery,319.0,750 ml,Glasflaska,Fylligt & Smakrikt,USA,Chardonnay,4.0,9804,,vertex-ai-search,https://www.vivino.com/sv/black-stallion-chardonnay/w/1247400
9017301,Pyros Pedrenal Valley Malbec organic,Pyros Wines,175.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Argentina,Malbec,3.8,26,,websearch,https://www.vivino.com/sv/pyros-malbec/w/13515802
9271601,Roccolo del Durlo Soave Classico,Azienda Agricola Le Battistelle,232.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Italien,Garganega,4,983,1.0,vivino-sök,https://www.vivino.com/w/1841929
2030701,Nigiri Sauvignon Blanc,Vini Bella Terra,109.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Italien,Sauvignon blanc,,,,,
2031001,Contacto Loureiro,Mendes & Symington,119.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,Loureiro,3.9,229,,websearch,https://www.vivino.com/sv/anselmo-mendes-contacto-loureiro/w/13220892
168401,Etna Rosso Terre dei Miti,Terre dei Miti,199.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,,3.9,279,,vertex-ai-search,https://www.vivino.com/sv/terre-dei-miti-etna-rosso/w/12463581
471401,Bon Courage Prestige Cuvée Chardonnay,Bon Courage,119.0,750 ml,Lättare glasflaska,Fylligt & Smakrikt,Sydafrika,Chardonnay,3.9,27,0.9,vivino-sök,https://www.vivino.com/w/1181889
420001,Leth Grüner Veltliner,Weingut Leth,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Österrike,Grüner veltliner,3.9,619,0.84,vivino-sök,https://www.vivino.com/w/1590184
631101,Stoneleigh Sauvignon Blanc,Vinarchy,125.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Nya Zeeland,Sauvignon blanc,3.9,173,,vertex-ai-search,https://www.vivino.com/sv/stoneleigh-lighter-sauvignon-blanc/w/7055329
1200001,Saint Clair Vicar's Choice Sauvignon Blanc,Saint Clair Family Estate,109.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Nya Zeeland,Sauvignon blanc,3.9,620,0.92,vivino-sök,https://www.vivino.com/w/1100196
252501,Baron de Ley Reserva,Baron de Ley,129.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,"Tempranillo, Garnacha",3.9,77260,,vertex-ai-search,https://www.vivino.com/sv/baron-de-ley-rioja-reserva/w/21584
7357001,Casa Marzoni Appassimento,Casa Marzoni,115.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Negroamaro, Primitivo, Malvasía",3.9,2362,0.82,vivino-sök,https://www.vivino.com/w/4405548
7418901,Zecci Valpolicella Ripasso Superiore,Botter,159.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,,3.9,8596,,vertex-ai-search,https://www.vivino.com/sv/botter-zecci-valpolicella-ripasso-superiore-valpolicella-ripasso/w/5624038
746901,Königsmosel Riesling,Ewald Theod Drathen,79.0,750 ml,Glasflaska,Druvigt & Blommigt,Tyskland,Riesling,3.7,8075,,websearch,https://www.vivino.com/sv/konigsmosel-riesling/w/1644807
258101,Leth Riesling Selection,Weingut Leth,109.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Österrike,Riesling,,,,,
212901,Dandelion Vineyards Lionheart of the Barossa Shiraz,Dandelion Vineyards,139.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Australien,Shiraz,3.9,533,0.88,vivino-sök,https://www.vivino.com/w/1173844
7563001,Castelmare Valpolicella Ripasso Superiore,Cantina Valpolicella Negrar,99.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,,3.8,3016,,websearch,https://www.vivino.com/sv/valpolicella-negrar-castelmare-valpolicella-ripasso-superiore-ea64f0/w/6302265
212902,Dandelion Vineyards Lionheart of the Barossa Shiraz,Dandelion Vineyards,79.0,375 ml,Glasflaska,Fruktigt & Smakrikt,Australien,Shiraz,3.9,533,0.88,vivino-sök,https://www.vivino.com/w/1173844
130201,G.D. Vajra Organic Langhe Nebbiolo,G.D. Vajra,199.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Nebbiolo,3.9,1360,0.81,vivino-sök,https://www.vivino.com/w/1100122
320401,Doppio Passo Organic Primitivo,Botter,99.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Italien,Primitivo,3.9,16326,,vertex-ai-search,https://www.vivino.com/sv/doppio-passo-primitivo-bio/w/2468762
7396601,Zensa Primitivo,Orion Wines,99.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Primitivo,3.9,21650,,vertex-ai-search,https://www.vivino.com/sv/zensa-puglia-primitivo/w/2375106
239001,Cantina Zaccagnini Del Tralcetto Montepulciano d’Abruzzo Organic,Ciccio Zaccagnini,129.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,Montepulciano,,,,,
7518101,Domaine Lalande Sauvignon Blanc,Domaine Lalande,89.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,Sauvignon blanc,3.6,1957,,websearch,https://www.vivino.com/sv/domaine-lalande-sauvignon-blanc/w/2218010
528301,Couvent des Jacobins Bourgogne Rouge,Louis Jadot,239.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,Pinot noir,3.9,150,0.95,vivino-sök,https://www.vivino.com/w/2816
746902,Königsmosel Riesling,Ewald Theod Drathen,59.0,375 ml,Glasflaska,Druvigt & Blommigt,Tyskland,Riesling,3.7,8075,,websearch,https://www.vivino.com/sv/konigsmosel-riesling/w/1644807
274102,Nederburg Noble Late Harvest,Nederburg Wines,130.0,375 ml,Glasflaska,Sött,Sydafrika,,3.9,5704,,vertex-ai-search,https://www.vivino.com/sv/nederburg-estate-the-winemaster-s-noble-late-harvest/w/61394
7493501,Soalheiro Alvarinho,Soalheiro,149.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,Alvarinho,3.9,784,0.84,vivino-sök,https://www.vivino.com/w/2078187
652001,McManis Petite Sirah,McManis Family Vineyards,119.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,Petite sirah,3.9,533,0.88,vivino-sök,https://www.vivino.com/w/2232
740401,Langlois Crémant de Loire Brut Réserve,Langlois-Chateau,179.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chenin blanc, Cabernet franc, Chardonnay",3.9,965,0.77,vivino-sök,https://www.vivino.com/w/1362079
282535,Adega de Monção Alvarinho,Adega de Monção,49.0,250 ml,Burk,Friskt & Fruktigt,Portugal,Alvarinho,3.9,17080,,vertex-ai-search,https://www.vivino.com/sv/adega-de-moncao-alvarinho-deu-la-deu/w/1150168
1200002,Saint Clair Vicar's Choice Sauvignon Blanc,Saint Clair Family Estate,69.0,375 ml,Glasflaska,Friskt & Fruktigt,Nya Zeeland,Sauvignon blanc,3.9,620,0.92,vivino-sök,https://www.vivino.com/w/1100196
9504101,Côtes-du-Rhône Villages Séguret La Ferme du Mont,La Ferme du Mont,149.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,,,,,,
7592201,Vinistella Pinot Grigio,ViniMundi,99.0,750 ml,Lättare glasflaska,Druvigt & Blommigt,Italien,Pinot grigio,3.9,84,,vertex-ai-search,https://www.vivino.com/sv/vinimundi-pinot-grigio/w/12962482
9544501,Benanti Etna Rosso,Benanti,219.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,"Nerello cappuccio, Nerello mascalese",3.9,161,0.86,vivino-sök,https://www.vivino.com/w/1758784
579801,Couvent des Jacobins Bourgogne Blanc,Louis Jadot,219.0,750 ml,Glasflaska,Fylligt & Smakrikt,Frankrike,Chardonnay,3.9,150,0.95,vivino-sök,https://www.vivino.com/w/2816
9410801,Free to Be Concrete Carbonic Pinotage,Remhoogte Wine Estate,179.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Sydafrika,Pinotage,,,,,
149202,Xavier Vignon Vacqueyras,Xavier Vignon,85.0,375 ml,Glasflaska,Fruktigt & Smakrikt,Frankrike,"Grenache noir, Syrah, Mourvèdre",3.9,4031,,vertex-ai-search,https://www.vivino.com/sv/xavier-vignon-vacqueyras/w/1189540
2017501,Adega de Monção Alvarinho,Adega de Monção,99.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,Alvarinho,3.9,17080,,vertex-ai-search,https://www.vivino.com/sv/adega-de-moncao-alvarinho-deu-la-deu/w/1150168
230001,Villa Antinori,Marchesi Antinori,179.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Cabernet sauvignon, Merlot, Syrah",3.9,9345,0.91,vivino-sök,https://www.vivino.com/w/1656
9251701,Plateau des Chênes,Famille Brechet,189.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Syrah, Grenache",3.9,3588,,vertex-ai-search,https://www.vivino.com/sv/le-plateau-des-chenes-lirac/w/1204576
9250801,Aphros Loureiro,Adega Aphros Wine,179.0,1000 ml,Lättare glasflaska,,Portugal,Loureiro,3.9,1699,,vertex-ai-search,https://www.vivino.com/sv/aphros-phaunus-loureiro/w/5296311
9542401,Montessu Agricola Punica,Agricola Punica,179.0,750 ml,Glasflaska,,Italien,"Carignan, Merlot, Syrah, Cabernet franc, Cabernet sauvignon",3.9,22596,,vertex-ai-search,https://www.vivino.com/sv/punica-montessu/w/1126888
7183201,Côtes du Rhône Saint-Esprit,Delas,129.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Grenache, Syrah, Marselan, Mourvèdre, Carignan",3.9,265,0.93,vivino-sök,https://www.vivino.com/w/14640
9272901,Stefan Meyer Löss Spätburgunder,Weingut Stefan Meyer,159.0,750 ml,Glasflaska,Mjukt & Bärigt,Tyskland,Spätburgunder,3.9,339,,vertex-ai-search,https://www.vivino.com/sv/stefan-meyer-loss-spatburgunder/w/11245359
9371801,Rosso di Montalcino Tenuta di Collosorbo,Tenuta di Collosorbo,219.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Sangiovese,3.9,264,0.82,vivino-sök,https://www.vivino.com/w/94969
2005401,Maison Vialade Languedoc Organic,Claude Vialade,119.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Frankrike,"Grenache, Marsanne, Viognier",0.0,5,,vertex-ai-search,https://www.vivino.com/sv/maison-vialade-organic-blanc/w/13118424
9388101,The Vice Pinot Noir Rosé,The Vice Napa Valley,149.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,USA,Pinot noir,3.9,208,,vertex-ai-search,https://www.vivino.com/sv/the-vice-pinot-noir-rose/w/5462672
588201,A Christmann Riesling,A Christmann,169.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Tyskland,Riesling,3.9,28,0.78,vivino-sök,https://www.vivino.com/w/10699782
205601,Weingut Müller Kremstal Grüner Veltliner Vom Loess,Weingut Müller,149.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Österrike,Grüner veltliner,3.8,186,,websearch,https://www.vivino.com/sv/muller-gruner-veltliner-vom-loess/w/13611286
768602,André Clouet Grande Réserve,André Clouet,219.0,375 ml,Glasflaska,Torrt vitt,Frankrike,Pinot noir,3.9,19959,,vertex-ai-search,https://www.vivino.com/sv/andre-clouet-grande-reserve-brut-champagne-grand-cru-bouzy/w/1108849
2016501,Antonelli Montefalco Rosso,Antonelli San Marco,159.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Italien,"Sangiovese, Montepulciano, Sagrantino",3.9,208,0.88,vivino-sök,https://www.vivino.com/w/74450
9580401,Carchelo Monastrell Garnacha,Bodegas Carchelo,139.0,750 ml,Glasflaska,Fruktigt & Smakrikt,Spanien,"Garnacha, Monastrell",3.6,4183,,websearch,https://www.vivino.com/sv/carchelo-carchelo-c/w/77868
9288601,Artisans Vignerons de Nord Xinomavro,Artisans Vignerons de Naoussa,149.0,750 ml,Lättare glasflaska,Kryddigt & Mustigt,Grekland,Xynomavro,,,,,
9479801,La Spia Rosso di Valtellina Nebbiolo,La Spia S.R.L. Società Agricola,179.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Nebbiolo,3.9,282,,vertex-ai-search,https://www.vivino.com/sv/la-spia-rosso-di-valtellina-nebbiolo/w/11276532
3225301,Sancerre Les Baronnes,Henri Bourgeois,249.0,750 ml,Glasflaska,Friskt & Fruktigt,Frankrike,Sauvignon blanc,3.9,2241,0.95,vivino-sök,https://www.vivino.com/w/17672
9045001,Andrea Felici Verdicchio dei Castelli di Jesi,Az. Agr. Andrea Felici,189.0,750 ml,Glasflaska,Friskt & Fruktigt,Italien,Verdicchio,3.9,4163,0.87,vivino-sök,https://www.vivino.com/w/1523577
737201,Palmer & Co La Réserve Brut,Palmer & Co,399.0,750 ml,Glasflaska,Torrt vitt,Frankrike,,3.9,15247,0.83,vivino-sök,https://www.vivino.com/w/2243607
