Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,AssortmentText,IsNewInAssortment,ProductLaunchDate,Argang,IsCompletelyOutOfStock,IsTemporaryOutOfStock,IsDiscontinued,IsSupplierTemporaryNotAvailable
5655401,Pouilly-Fuissé Premier Cru Domaine Barraud La Maréchaude Clos La Verchère,Domaine Barraud,449.0,750 ml,Glasflaska,,Frankrike,Chardonnay,Ordervaror,False,2022-08-29,2022,False,True,False,True
7206601,Domaine Colombo La Belle de Mai Saint Péray,Jean-Luc Colombo,179.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2022-08-16,2020,False,False,False,False
5688001,Domaine Saint Préfert Châteauneuf-du-Pape,Domaine Saint Préfert,777.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2022-05-11,2020,False,False,False,False
5683201,Bassermann-Jordan Langenmorgen Weisser Burgunder GG,Geheimer Rat Dr. von Bassermann-Jordan,429.0,750 ml,Glasflaska,,Tyskland,,Ordervaror,False,2022-04-27,2020,False,False,False,False
7189401,Seckinger Linse Chardonnay,Seckinger,399.0,750 ml,Glasflaska,,Tyskland,Chardonnay,Ordervaror,False,2026-03-09,2023,False,False,False,False
7436801,Seckinger Deidesheim Herrgottsacker Riesling Erste Lage,Seckinger,255.0,750 ml,Glasflaska,,Tyskland,Riesling,Ordervaror,False,2026-03-09,2022,False,False,False,False
7561601,Mjsia Bianco Verona Garganega,Az.Agricola VIGNA 800,236.0,750 ml,Glasflaska,,Italien,,Ordervaror,False,2026-03-11,2024,False,False,False,False
7523201,Trebbiano D'Abruzzo Cirelli,CIRELLI LA COLLINA BIOLOGICA SRL,189.0,750 ml,Lättare glasflaska,,Italien,,Ordervaror,False,2026-03-17,2022,False,False,False,False
7757701,Terrante Angea,Agricolo Francesco de Filippis,221.0,750 ml,Lättare glasflaska,,Italien,"Trebbiano, Malvasía",Ordervaror,False,2026-03-23,2024,False,False,False,False
7968101,Cantariña Villafranca Godello,Cantariña Vinos de Familia,261.0,750 ml,Lättare glasflaska,,Spanien,Godello,Ordervaror,False,2026-03-30,2024,False,False,False,False
7354201,Cuvée Fût de Chêne Château Tour des Graves,Ch. Les Graves,199.0,750 ml,Glasflaska,,Frankrike,,Ordervaror,False,2026-05-06,2024,False,False,False,False
7018301,Weingut Krebs Riesling Trocken,Weingut Krebs,169.0,750 ml,Lättare glasflaska,,Tyskland,Riesling,Ordervaror,False,2026-05-11,2025,False,False,False,False
7998602,Tokaj-Hétszolo Aszú 5 Puttonyos,Tokaj-Hétszolo,479.0,500 ml,Glasflaska,,Ungern,,Ordervaror,False,2026-05-11,2017,False,False,False,False
7361402,Tokaj-Hétszolo Late Harvest,Tokaj-Hétszolo,199.0,500 ml,Glasflaska,,Ungern,,Ordervaror,False,2026-05-11,2022,False,False,False,False
7374501,Tokaj-Hétszolo Furmint Selection Dry,Tokaj-Hétszolo,239.0,750 ml,Glasflaska,,Ungern,,Ordervaror,False,2026-05-11,2023,False,False,False,False
7513501,La Figaflor Bell Cros,Bell Cros (Skoglund Wine Estate S.L.),179.0,750 ml,Glasflaska,,Spanien,Garnacha blanca,Ordervaror,False,2026-05-12,2025,False,False,False,False
7646001,B.R.O.T. Maurat,B.R.O.T.,179.0,750 ml,Glasflaska,,Spanien,Xarel-lo,Ordervaror,False,2026-05-12,2023,False,False,False,False
7811101,Hautes-Côtes de Beaune Les Montbatois R. Dubois & Fils,R. Dubois & Fils,335.0,750 ml,Glasflaska,,Frankrike,Chardonnay,Ordervaror,False,2026-05-27,2023,False,False,False,False
7496901,Johanninger  Riesling,Johanninger KG,179.0,750 ml,Lättare glasflaska,,Tyskland,,Ordervaror,False,2026-05-18,2025,False,False,False,False
7264101,Meursault Les Narvaux Boyer-Martenot,Boyer-Martenot,999.0,750 ml,Glasflaska,,Frankrike,Chardonnay,Ordervaror,False,2026-08-17,2023,False,False,False,False
7442901,Meursault En l'Ormeau Boyer-Martenot,,999.0,750 ml,Glasflaska,,Frankrike,Chardonnay,Ordervaror,False,2026-08-17,2023,False,False,False,False
584401,FM Riesling,Winzerverein Deidesheim,127.0,750 ml,Lättare glasflaska,,Tyskland,,Ordervaror,False,2012-04-02,2022,False,False,False,False
